m1,m2,m3
28,36,213
17,318,527
1028,1035,1250
260,316,593
16,69,110
58,150,260
29,50,213
1,6,25
1,14,36
5902,32,345
177765,3147,148626
1,21,32
296,2858,2959
1,17,21
62,88,104
32,1356,1391
50,318,527
260,296,541
1035,1213,2859
46578,51662,2329
527,858,919
110,150,318
32,95,104
111,441,858
47,110,296
247,3949,4642
32,110,235
7025,16,750
111,246,260
4896,5816,8368
318,2761,3086
593,1673,1682
260,356,417
29,50,70
50,110,318
6,50,319
858,1732,2959
3499,3578,1198
527,1172,2324
48780,55820,36
17,25,47
589,1097,1196
1,11,46
32,50,70
45668,60069,69406
663,919,1031
1246,5816,8368
912,1172,1203
745,904,1148
5992,1258,2291
111,260,527
47,50,101
11,260,318
909,1207,1247
45,344,2571
6,16,47
288,1111,1245
293,364,527
2058,3534,4387
2,153,317
296,912,1080
318,562,50
608,3972,858
111,190,194
110,356,1619
104,231,356
1,34,260
1237,1258,1292
32,50,58
50,296,318
541,1265,2571
1193,3567,3578
4306,260,296
50,296,318
50,163,293
6,9,24
318,527,1203
319,527,541
110,150,318
1,59900,74458
223,5014,733
527,1213,2571
260,318,356
779,838,926
1219,1237,7008
1,780,10
50,111,296
34,105,349
1356,1,32
12,3949,48516
47,50,296
1,22,32
50,70,296
900,901,933
543,745,912
1,17,50
1721,5066,42728
1225,1246,2324
1608,1616,1617
3916,46972,4963
111,296,593
296,1704,122918
1,95,376
1704,4022,5989
1089,109487,2959
1,260,304
296,527,858
1732,1884,27904
296,50,223
741,924,1199
6,47,50
6,25,47
110,296,380
32,318,1027
32,150,161
150,680,924
48780,79132,1
34,110,150
1,2,6
236,551,661
50,260,296
1246,1293,2324
296,1204,3471
21,150,246
296,16,21
296,750,903
4306,8360,33615
1,6,62
308,1193,1217
25,29,110
1198,1221,2683
293,457,750
50,110,225
208,648,110
1,293,1276
123,492,1230
32,902,910
260,296,356
6,47,50
5882,239,4016
61,165,296
47,110,296
11,17,34
288,3676,26258
2125,5620,33669
2571,2959,4993
741,1198,1265
111,235,296
290,318,389
1,62,150
17,34,858
16,296,318
11,32,34
296,318,356
2997,4979,5951
47,296,318
318,778,1080
296,318,319
899,910,1136
318,527,593
260,318,750
150,318,356
47,50,628
293,318,356
31,339,356
1208,1394,4226
1639,253,296
150,161,168
318,529,923
555,1233,1234
364,912,1835
50,296,5299
111,150,260
216,318,858
34,457,527
6,16,125
6,145,260
318,356,2571
541,29,924
260,296,589
362,4361,524
318,356,608
50,58,97
32,110,260
17,34,337
2,44,110
1,16,260
318,50,2329
110,260,589
1,17,25
47,69,110
1,32,47
904,1235,2858
318,356,527
1,260,640
110,223,260
21,27,62
3996,5618,6377
318,1584,3578
356,106782,318
111,247,858
5952,7153,110
47,110,165
111,356,527
356,4896,4963
58,527,1183
39,47,150
32,110,111
110,292,356
1,2324,79702
50,318,858
318,3897,7361
17,36,318
260,329,367
261,318,356
318,356,457
350,33794,1073
82,524,838
101,110,318
1617,1721,1183
62,316,1036
29,32,296
318,356,364
150,161,165
6,32,86
27611,116797,260
17,318,527
902,914,915
306,307,1251
586,1485,2953
9,65,76
110,260,858
110,260,589
318,1059,1172
858,904,912
111,1193,1247
62,104,110
1202,1220,1225
176,1175,1282
3,18,141
318,520,1206
147,296,1213
6870,1307,2289
47,593,968
39,2541,58998
34,377,339
1222,1270,2011
4993,5952,7153
457,750,858
318,527,1198
32,47,50
260,318,750
260,593,1196
260,318,356
260,1954,3471
34,277,357
2289,6377,1276
318,356,1704
318,471,541
25,608,6
223,260,296
293,318,364
47,150,151
39,50,318
215,2324,3448
34,260,454
110,356,1036
32,260,733
356,454,457
260,593,1198
6,110,457
1,356,1215
1270,1682,2324
2599,2692,2700
45,110,150
4954,4963,5989
520,588,595
1197,4306,6377
260,296,1196
50,110,161
47,318,356
135,165,231
40,62,68
1267,2605,1876
70,589,1249
541,1199,1211
69,356,733
293,2028,2571
59315,79132,89745
90439,92259,111659
541,1136,1196
6,16,32
170,306,307
3,24,50
588,4896,76093
165,648,1036
597,662,1073
1,6,34
293,778,1527
110,318,1196
296,318,356
1035,1968,6732
1265,1307,7451
32,50,296
11,17,50
1916,3266,3676
50,356,593
153,165,296
527,1097,1127
253,968,1258
17,21,260
1,47,50
47,110,231
296,430,1259
1479,2289,2580
260,318,356
8533,45668,49772
17,110,207
32,47,50
318,527,3147
2571,79091,79132
39,2572,239
1,10,47
16,296,428
110,318,589
1,32,50
6,50,110
25,36,111
260,356,527
260,368,1210
110,150,163
260,858,912
11,110,160
50,265,509
2288,3000,4878
21,45,50
5816,7361,46578
112,260,293
1073,1197,1199
50,318,527
14,39,45
21,28,39
2,253,288
150,260,1197
232,296,527
110,150,188
296,858,1653
10,253,296
1,6,47
